symbol,amount,price,buy_or_sell,date
EUR.SGD,-3995.0,1.5675,SELL,2021-11-02
EUR.SGD,2050.0,1.5315,BUY,2022-01-03
EUR.SGD,3060.0,0.63933,BUY,2021-11-03
EUR.SGD,-3104.9999999999995,0.65004,SELL,2021-11-17
EUR.SGD,3350.0,0.65168,BUY,2021-11-19
EUR.SGD,3025.0000000000005,0.64441,BUY,2021-11-30
EUR.SGD,-609.0,0.64691,SELL,2021-12-03
EUR.SGD,-319.0,0.64691,SELL,2021-12-03
EUR.SGD,-57.99999999999999,0.64691,SELL,2021-12-03
EUR.SGD,-28.999999999999996,0.64691,SELL,2021-12-03
EUR.SGD,-434.99999999999994,0.64691,SELL,2021-12-03
EUR.SGD,-1475.0,0.64728,SELL,2021-12-08
